2, _, _, _, _, 3, 2, _, _, 3, _, 4, _, 2, _, _, _, _, 2, _, 3, _, 2, _, 2, _, _, _, 3, 2, 3, _, 2, 2, _, 3, 2, _, _, 3, _, 1, _, _, _, 1, _, _, 1, _, _, 2, _, _, 1, 1, 1, 2, 2, _, _, 5, _, _, _, 4, _, 2, 1, 1, 1, 2, _, 2, 1, _, _, 2, _, 2, _, _, _, 3, 1, 1, _, 2, _, _, _, 1, _, 2, _, _, 1, 1, 1, 1
_, _, 3, 1, 1, 3, _, _, 6, _, _, _, 7, _, 7, _, 6, _, _, 6, _, 3, 1, 3, _, 6, 5, _, 2, 2, 2, 3, 3, 2, 1, 1, _, _, _, _, _, _, 3, 2, 4, 4, 4, _, 2, 3, _, 4, _, 5, 6, _, _, 3, _, 3, _, _, _, 1, 1, _, 2, 3, 5, 6, 6, _, 4, 4, _, _, 5, _, _, 3, 4, 3, 4, _, _, 5, _, 5, 3, 3, _, _, 5, _, _, _, 3, 3, _, 2
4, _, 3, 2, 2, _, _, 4, _, _, 6, _, _, _, 6, _, 3, 2, 3, _, _, 4, 2, _, 4, _, _, 4, 2, 2, _, _, 3, _, 2, 1, 4, _, 6, _, _, _, 4, _, _, _, _, 3, 2, 2, 3, 3, 3, _, _, _, 6, _, 4, 3, 4, _, 4, 1, 1, 2, 4, _, _, _, _, _, 3, 4, _, _, 5, _, 6, _, 5, _, 4, _, 4, 4, _, 3, _, 3, 4, _, 5, _, _, 3, 2, _, 4, _
_, 4, _, 4, _, 3, 3, 4, 5, 5, _, 4, 5, _, _, 3, 2, 1, 3, 6, _, 5, _, 3, 5, _, _, _, 2, 2, _, 4, 5, _, 4, 2, 3, _, 5, 4, 5, 4, 5, _, _, 8, _, 3, 1, _, 2, _, 3, 3, 6, _, 7, _, _, 2, 4, _, 4, 1, 1, 1, _, _, _, _, 6, 4, 4, _, _, 3, 3, _, 5, _, _, _, 4, 2, 3, _, 3, 4, 3, 4, _, 5, _, 4, 2, 2, 3, 4, _, 3
1, 4, _, _, 4, 2, 3, _, _, _, 4, 3, _, 4, 5, _, 3, 2, _, _, _, _, 4, _, 5, _, 8, _, 5, 4, 4, _, 5, _, _, 5, _, 4, _, _, 5, _, _, 4, _, _, _, 3, 1, 2, 4, 3, 4, _, 5, _, _, _, 5, _, 4, _, 6, _, 4, 3, 5, _, _, 5, _, _, 4, _, 3, 1, 1, 1, 4, _, _, 4, 2, _, 3, 3, _, 2, _, _, 5, _, _, 4, 3, 3, _, _, 4, _
1, 4, _, _, 4, _, 4, _, _, _, 3, _, 4, _, 4, _, 3, _, 3, 4, _, 3, 3, _, 5, _, _, _, _, _, _, 3, _, _, _, _, _, 4, 4, _, _, _, 4, 3, 5, _, _, 5, 3, 4, _, _, 5, _, 5, _, 7, _, 4, 2, 4, _, _, _, _, _, 5, _, _, 4, 3, 5, _, 5, 4, 3, 2, 2, 3, _, _, 4, 4, 5, _, 5, 3, 3, 3, _, _, 5, 4, _, _, _, 4, 2, 3, _
_, 4, _, 5, 4, _, 3, 2, 3, 3, 3, 4, _, 6, _, 5, 4, 2, 1, 2, 2, 3, 2, 3, _, 4, 5, 5, 7, _, 6, 4, 4, 4, 5, _, 4, 4, _, 6, _, 3, 2, _, 3, _, _, _, _, _, _, _, _, 5, _, 5, _, _, 3, 1, _, 4, _, _, _, _, _, 6, _, 2, 1, _, _, _, _, _, _, 3, _, 5, 4, _, _, _, _, _, _, 1, 1, 3, _, 3, _, 3, 4, _, 2, _, 1, 1
2, 4, _, 3, _, 4, 3, 1, _, 1, _, 4, _, _, _, _, _, 2, 2, 2, _, 2, _, 2, 2, _, 4, _, _, _, _, _, 3, _, 4, 2, 2, _, _, _, 4, 2, 1, 2, 3, 3, 3, 3, 5, _, _, 5, _, 4, _, _, 6, _, 4, 2, 2, 4, 5, 6, _, 5, _, _, 2, 1, 2, 5, _, 7, _, 4, 3, 5, _, 5, _, 4, 5, _, 4, 4, 4, 3, 2, 2, 2, 3, 2, 2, 1, 2, 3, 2, 1, _
2, _, 4, 4, 3, _, _, 4, 3, 4, 4, 5, _, _, _, _, 4, _, 3, _, 3, 3, 2, 1, 1, 2, _, _, 5, 5, 6, 5, 5, _, _, 2, 2, 4, 7, _, _, 3, 2, 2, _, 1, _, _, 2, _, 4, 3, 3, 4, 5, 6, _, _, _, 2, 1, _, _, _, 3, 3, 3, 4, 2, 1, 2, _, _, _, 5, 4, 3, _, _, _, 5, _, 3, 2, 2, 3, _, _, 3, _, 2, 2, _, 2, 2, 2, _, _, 2, _
3, _, _, 4, _, 5, _, _, _, _, _, _, 4, 4, 4, 3, 3, 3, _, 3, 3, _, 3, 3, 2, 3, 4, 5, 4, _, _, _, _, 5, _, 2, 1, _, _, _, 5, _, _, 3, 3, 3, 1, 1, 2, 2, 2, _, 4, _, _, _, _, 8, _, 4, 3, 3, 5, _, 3, 3, _, 3, _, 3, 5, _, _, _, _, _, _, 6, _, 7, _, _, 3, 3, _, 4, _, _, 4, 2, 2, _, 4, _, 2, _, 6, _, 5, 2
_, 5, _, _, 4, 6, _, 6, _, 4, 3, 2, 3, _, 3, 2, _, 3, 3, _, 2, 2, _, _, _, 3, _, _, _, 5, 4, 5, _, 3, 1, 1, 2, 4, 6, 5, _, 4, 4, 4, _, _, 3, 3, _, 2, 2, 3, _, _, 6, _, _, _, _, _, 3, _, 3, 3, _, 4, _, 5, 5, _, _, _, 5, 4, _, _, 6, _, _, _, _, 4, 4, _, _, 4, 3, 4, _, 3, 3, 5, _, 4, 3, 3, _, _, _, _
_, 5, 4, 4, _, _, _, 3, 1, 1, 1, 1, 4, _, 4, _, 3, 4, _, 3, 1, 2, 4, _, _, 5, 3, 6, _, 6, _, 3, 1, 2, 1, 2, 2, _, _, _, 3, 3, _, _, 4, 4, _, _, 4, _, 1, 2, _, 4, _, 5, 5, 5, 5, 5, _, 4, _, 3, 2, _, 4, _, _, _, 5, _, 3, 2, 4, _, 6, _, 6, 4, 4, _, 5, _, 6, _, 4, 4, _, 4, _, _, _, 4, _, 4, 5, 6, _, _
_, _, 5, _, 5, 5, 5, 4, 3, 2, 3, _, 5, _, 4, 3, 3, _, _, 2, _, 2, _, 5, _, 5, _, 4, _, _, _, 4, 1, 3, _, 4, _, 5, 6, _, 3, 4, _, 6, _, 4, 3, 4, _, 3, 1, 2, 2, 3, 3, _, _, 4, _, _, 4, 5, _, 5, 4, 5, _, 4, 4, 3, 3, 2, 3, _, 4, 4, _, _, 5, _, 2, 2, _, _, 5, _, _, _, 3, _, 4, _, _, 3, 2, _, _, _, 4, 3
_, _, _, _, 3, _, _, _, _, _, 5, _, _, 3, _, 2, _, 4, 3, 2, 1, 4, _, 4, 3, _, _, 6, 6, _, _, 3, _, 5, _, _, 5, _, _, 3, _, 3, _, 5, _, _, 4, 4, _, 3, 2, 2, _, 2, 4, _, 7, _, _, _, _, 5, _, _, _, _, _, 2, 1, _, 2, 2, _, 4, _, _, 6, _, _, 3, 3, 2, 4, 3, 5, _, _, 4, 2, 1, 3, 4, 4, 2, 2, 5, _, 5, 4, _
_, 7, _, 5, 3, 4, _, _, 5, 4, _, _, 4, 3, 3, 4, 4, _, 4, 4, _, 5, _, 5, 5, _, _, _, _, _, 4, 3, 4, _, _, 6, _, _, 3, 3, 2, 4, 4, _, 6, _, _, _, 4, _, 4, _, 5, _, 4, _, _, _, 6, 6, _, 6, _, _, 5, 3, 3, 2, 3, 3, _, 4, 3, 5, _, _, _, 4, 5, _, 5, _, 3, _, 4, _, _, 3, _, _, 1, _, _, 3, 2, _, _, 3, _, _
_, 4, _, 4, _, 3, 3, _, 3, 3, _, _, 3, 2, _, _, 4, _, _, _, _, 6, _, _, _, _, 4, 4, 5, 5, 4, _, 3, _, _, _, 3, 3, 2, 2, _, 3, _, _, 4, _, _, _, 5, 4, _, _, 6, _, 5, 5, _, _, _, 6, _, _, 4, _, 3, 1, 2, _, 3, _, 3, _, _, 3, _, _, 4, 4, _, _, _, _, 3, 1, 3, _, _, 3, 1, _, 2, 5, _, _, 4, 3, 3, 4, 4, 3
2, 4, 3, 5, _, 3, 3, 4, 4, _, 3, 4, _, 3, 3, _, 4, 3, 4, 6, _, _, 3, 3, 4, 3, 3, 3, _, _, _, 4, 5, 5, _, 4, 2, 3, _, 3, 2, 5, _, 5, 4, 4, _, _, 6, _, _, _, 6, _, _, 5, _, _, _, _, _, 5, 3, 2, _, 2, 3, _, 4, 3, 3, 3, 3, 3, 4, 3, 3, _, _, _, 4, 2, 1, 1, 2, 4, 5, _, 4, 2, 3, _, _, _, _, 2, 2, _, _, 2
_, 5, _, _, 4, 3, _, _, _, 4, 2, 2, _, 3, 2, 3, _, 3, 2, _, _, 4, 2, 1, 3, _, 3, _, _, _, 5, _, _, _, 4, 3, _, 4, _, 4, 2, _, _, _, 4, _, 5, _, _, _, _, _, _, 5, _, _, 3, 3, 4, 5, _, _, 4, 4, 4, 5, _, 5, _, 2, _, 1, 2, _, 3, _, 3, 5, _, 4, 1, _, 1, 2, _, 3, _, _, _, _, 5, _, 7, 6, 6, _, 4, 4, _, 2
_, _, _, _, _, 3, 3, _, _, _, 2, 3, 5, _, 3, 3, _, 4, _, 5, _, 4, 4, _, 4, _, 4, 3, 5, _, 6, 5, _, _, _, 4, 4, 5, _, _, 4, 4, _, _, _, 4, 5, _, 5, 6, _, _, 5, 5, _, 4, 1, _, 2, _, 7, _, _, _, _, _, _, _, 4, 4, 3, 3, 4, _, 5, 4, _, 4, _, 2, 1, 2, 3, _, 4, _, 5, _, 4, 3, _, _, _, _, _, _, 3, _, 3, 2
_, 5, _, _, _, 4, 2, 5, _, 4, 3, _, _, _, _, 3, 2, 4, _, 4, 3, _, _, _, 3, 2, _, 2, 3, _, _, _, 4, _, 4, _, _, _, 4, _, _, 4, 4, _, 6, _, _, 3, _, 4, _, _, _, 5, _, 5, 2, 1, 2, _, _, _, 6, 5, 6, _, _, _, _, 4, _, _, 4, _, 6, _, _, 3, 1, 1, 2, _, _, 5, 6, _, 5, 2, 1, 1, 3, _, 5, 5, _, 3, 3, 2, 3, _
3, 4, 4, 5, _, 3, _, 4, _, 3, 3, _, _, 5, 4, 3, _, 4, 5, _, 3, 2, 3, 3, 2, 2, 2, 3, _, 4, 5, 4, 5, 3, 3, 3, 5, 5, 4, 5, _, _, 3, 3, _, _, 4, 3, 3, _, 5, _, 7, _, _, _, _, 3, 3, 5, _, _, _, 4, _, _, 6, 6, _, 6, _, 5, 6, _, _, _, 5, 4, 3, 2, 4, _, _, _, _, _, _, 4, 2, 1, 1, 1, 2, _, 3, 2, 2, _, 3, 1
_, _, 3, _, 3, 2, 3, _, 5, _, 3, 4, 6, _, 4, _, 5, _, _, _, 4, 1, _, 2, _, 3, 2, _, 4, _, 3, _, _, _, 2, 2, _, _, _, 6, _, 5, _, 4, 6, _, 4, 3, _, 4, 5, _, _, _, 5, 5, _, 3, _, _, 5, 7, _, _, 6, _, _, 5, _, _, 5, _, _, _, _, 4, _, _, _, _, 4, _, 5, 5, _, _, _, _, _, 3, 1, _, 1, 2, _, 1, 3, _, 4, 1
3, 3, 3, _, 2, 1, 3, _, _, 3, 3, _, _, _, _, 4, _, _, 6, _, _, 3, 2, 4, _, 5, _, 5, _, 4, 6, _, _, 5, 4, _, 5, 5, _, _, _, 5, 5, _, _, _, _, 5, _, _, 4, _, _, 5, _, 3, 2, 3, 2, 4, _, _, _, _, _, 5, _, _, 4, _, 4, _, _, _, 5, 3, 5, _, 5, 3, 4, _, 3, 4, _, _, 5, 5, _, _, 4, 2, 1, 1, 1, 1, 2, _, _, 1
_, 3, 3, 4, 3, 3, _, 6, 5, _, 3, 3, 5, _, _, 4, 3, _, 3, 4, _, 5, _, _, 4, _, _, _, 4, _, _, _, _, _, 5, _, _, 3, 3, 4, 5, _, _, _, _, _, _, _, 5, 4, 5, _, _, 4, 1, 3, _, 3, 1, 2, _, 5, 6, _, _, 4, 2, 3, 4, 3, 4, 5, _, _, 5, _, 5, _, 3, 2, _, 5, _, 5, _, _, 4, 3, _, _, _, _, 3, 1, 2, 2, 4, 5, 5, 3
_, 5, _, _, _, 4, _, _, _, 4, _, 4, 4, _, _, 3, 3, 4, 3, 4, _, 5, _, _, 4, 2, 4, 5, _, 6, _, _, 7, _, _, 3, 4, _, 3, 3, _, _, 5, _, _, 7, _, _, _, 3, _, _, _, 3, 2, 4, _, _, 1, 2, 3, _, 5, _, _, 5, 3, 3, _, _, 4, _, _, _, 4, _, _, 3, 2, _, 4, _, _, _, 6, _, _, 2, 3, 4, 6, _, 5, _, 3, _, _, _, _, _
_, _, 5, _, _, 3, 3, _, 3, 4, _, _, _, 3, 3, 3, _, _, _, 3, _, 4, 4, _, 2, 1, 3, _, _, _, 5, _, _, 3, 3, 2, 4, _, _, 5, _, 4, 3, 4, _, 6, _, _, 5, _, 4, 4, 2, 3, _, _, 3, 2, 1, 1, _, 4, _, _, _, _, _, _, 4, 5, _, _, 5, 4, 5, 6, _, 5, 4, 4, _, 4, 5, _, _, 6, 4, 3, 3, _, 6, _, _, 3, _, 4, 4, 5, _, _
_, 4, 4, _, 4, 3, 4, 3, 2, 3, _, _, 4, 2, 2, _, 5, 5, 4, 3, 3, _, 4, 4, 3, 2, _, _, 7, _, 5, 5, 5, 4, 4, _, 4, _, _, _, 5, _, 3, 3, _, 4, _, _, 4, 3, _, 3, 2, 4, _, 5, 3, 2, 2, 3, 3, 4, _, 6, _, 7, _, 6, 5, _, _, 4, 2, _, _, _, _, _, _, _, 5, _, 3, 3, _, _, _, 3, _, _, _, _, 3, 2, 3, _, 2, 3, _, 5
4, _, 4, 2, 4, _, _, _, 2, 3, _, _, 2, 1, _, 5, _, _, 3, _, 3, 3, _, _, _, 3, 4, _, _, 6, _, _, _, _, _, _, 5, 5, _, _, 5, _, 5, _, 4, 4, 5, _, 3, 4, _, _, 5, _, _, 4, _, _, 4, _, _, 3, 3, 6, _, 5, _, _, _, _, _, 3, 2, 4, 5, 6, _, 6, 5, _, 5, _, 4, 4, 4, 5, 4, _, 4, _, _, 4, 3, 1, 4, _, 5, 4, _, _
_, _, 4, _, 5, _, _, 4, _, 2, 2, 2, 2, 3, 4, _, _, 4, 5, _, 3, 3, _, 8, _, 3, 3, _, _, _, _, _, 6, 5, 5, 5, _, _, 5, _, 5, 4, _, _, 3, _, _, 3, 3, _, _, _, _, _, 5, _, 5, _, _, 5, 4, 4, _, _, _, 5, 5, _, 8, _, _, 2, 1, _, _, 4, _, 4, _, 4, _, 5, _, _, _, 3, _, 3, 4, 3, 5, _, 4, _, 4, _, _, _, 4, _
2, 3, 4, _, 4, _, 4, 4, 2, 3, 2, 3, 4, _, _, 4, 4, 3, _, _, 5, 4, _, _, _, 4, 4, _, 7, _, _, _, _, 2, _, _, 3, 2, 3, _, _, 6, _, 6, 4, 3, 2, 3, _, 4, 5, _, 6, 3, 4, _, 6, 5, _, _, 4, _, _, 6, _, 4, _, _, _, _, 4, 3, 4, 4, 4, 5, _, 4, 1, 4, _, 5, _, 6, _, 4, 3, _, 4, _, 3, _, _, 3, 4, _, 6, 4, 3, 2
1, 2, _, 4, 4, 4, _, 5, _, 5, _, _, _, _, 6, _, 5, _, 7, _, _, _, 5, 6, _, _, 5, _, _, 4, 5, 5, 4, 4, 3, 3, 1, 1, 2, 4, _, _, _, _, _, 3, 1, 2, _, 2, 3, _, _, 3, 4, _, _, _, 5, 6, _, _, 5, 4, _, 3, 4, _, 6, 4, 3, _, _, _, 5, _, _, 4, 1, 3, _, 3, 2, 5, _, 4, 4, _, _, 5, 4, 5, _, 5, 4, _, _, 3, _, 2
_, 5, 5, _, _, 4, _, _, _, _, _, _, _, 5, _, _, _, _, _, _, 6, 5, _, _, 4, _, 6, _, 7, _, 5, _, _, 3, _, 1, 1, 2, _, 4, 5, _, 6, 7, _, _, 4, 3, 2, 1, 3, _, _, 6, _, _, 5, 4, _, _, _, _, 6, _, 5, 4, 4, _, _, 5, _, 6, _, _, _, _, _, 4, _, 4, 2, 2, 2, _, _, 4, _, _, _, _, _, 5, _, _, _, 4, 2, 3, _, 2
_, _, _, _, _, 5, 3, 4, 4, _, 4, 3, 4, _, 5, 6, _, 7, _, 5, _, _, 5, 3, 4, 3, _, _, _, _, _, _, _, 5, 3, 3, 4, _, 5, _, _, 4, _, _, _, _, _, _, 3, 2, 3, _, _, _, _, _, 2, 2, _, _, 6, _, _, _, _, _, _, 5, _, _, _, _, 5, 4, 5, _, 4, 3, _, _, 2, 3, _, 4, 4, _, 6, 6, 5, 5, _, _, 5, 5, _, 3, 2, 3, 2, 1
5, _, _, 5, _, 4, _, 3, 2, 2, 2, 1, 2, _, _, 5, _, 6, _, 4, 4, _, 5, _, 4, _, 5, 4, 5, 5, _, 5, _, _, 4, _, _, _, _, 4, 4, 6, _, 5, 4, _, 6, _, _, 3, _, 6, _, _, 5, 2, 2, 3, 6, _, 6, 5, _, 6, _, 7, 4, 4, _, 5, 5, _, _, 4, 5, _, 3, 2, 3, 5, _, 5, _, 5, 5, _, _, _, _, 4, 4, _, _, 4, 3, 4, _, _, 2, 1
_, _, 5, 4, 3, 4, _, _, 3, 2, _, 2, 2, 3, 4, _, _, 5, _, 4, 3, _, 6, _, 6, _, 4, _, 3, _, 3, 3, 3, 3, _, _, 6, _, 4, 3, _, _, _, 4, 3, 3, 5, _, 4, 3, _, _, 5, _, 3, 2, 3, _, _, _, _, _, 3, 4, _, _, _, 4, 3, 4, _, 5, _, _, _, _, 4, 3, _, 5, _, 6, _, _, _, _, 6, _, _, 4, _, 6, _, 6, _, _, 3, 2, 2, _
5, _, 5, _, _, 3, 5, _, 4, _, 5, _, 4, 4, _, 5, 4, 5, _, _, 3, 2, _, _, _, 4, 4, _, 4, 2, 3, _, 3, 2, 4, 4, _, 4, _, 2, 4, _, 6, _, _, 4, _, _, 2, 1, 2, 4, _, 4, 3, _, _, 4, 5, 5, 7, _, 3, 2, _, 4, 4, _, _, 5, _, 4, 4, 5, 7, _, _, 4, _, 5, _, _, 7, _, _, 3, 3, _, _, 3, 3, _, _, _, _, 3, 1, _, 2, 2
_, _, _, 5, 5, 4, _, _, 3, 3, _, _, _, _, _, _, 4, _, _, _, 3, 3, 5, _, _, 3, _, 5, _, 3, 3, _, 5, _, 4, _, 4, _, 4, 4, 4, _, 5, _, 5, _, _, 5, 3, 2, 1, 3, _, _, 4, 3, 4, _, 2, _, _, _, 4, 3, 2, 2, 3, _, _, _, 5, _, 5, _, _, _, 5, 5, _, 5, 4, _, _, _, 4, 2, 1, 3, 3, 2, 2, _, 5, 5, 4, 2, _, _, 2, _
2, 3, 4, _, _, _, 3, 2, 2, 3, _, 5, 5, 5, _, _, 7, _, 6, 5, _, 5, _, _, 4, 3, 4, _, _, 3, _, 4, _, _, _, 6, _, 5, _, _, _, 2, 4, _, 5, 3, 4, _, _, 4, _, 4, 4, _, 3, _, 2, 1, 2, 3, 4, 5, _, _, 1, 2, _, 5, 6, _, 6, _, _, _, _, _, 4, _, _, 5, _, 5, 5, 4, _, 2, 1, 2, _, 3, 3, 2, 2, _, _, 2, 1, _, 3, _
1, 1, 3, _, 6, 4, 3, 1, 2, _, 4, _, 3, _, 7, _, _, _, _, 3, _, _, _, _, 3, 1, _, _, 5, 4, 3, 4, _, _, _, _, _, 6, _, _, 3, 2, 4, _, _, 2, 4, _, 6, _, _, _, 5, 4, 5, 3, 2, 1, 2, 3, _, 5, _, 6, 3, 4, _, _, 5, _, _, 4, 4, _, 5, 5, _, 5, 4, _, _, _, 4, _, 3, 4, _, 4, 3, _, _, 2, 2, 4, 5, _, 1, _, 2, _
_, 2, 2, _, 4, _, _, 2, 4, _, 5, 3, 6, _, _, _, 7, _, 3, 3, 5, _, 7, _, 4, 2, 3, 3, _, _, 2, _, 5, _, 6, _, 6, _, _, 4, 2, 2, _, _, 3, 2, _, _, 5, _, _, _, _, _, _, _, 3, 2, _, _, 6, _, _, _, _, 5, _, _, 7, _, _, 3, 2, 1, 3, _, _, _, 2, 4, _, _, _, 4, 3, _, _, _, 2, 4, _, 4, 2, _, _, 3, 1, 1, 2, 2
_, 3, 2, 2, 3, _, 5, _, 5, _, 3, _, _, _, 6, _, _, 2, 1, 2, _, _, 4, _, 4, _, 3, 3, 4, 4, 4, 4, _, 4, _, 4, _, _, 6, _, 3, 3, _, 4, 3, 3, 5, _, 3, 2, 4, 5, 6, 6, _, _, _, 3, 5, _, _, _, _, _, _, 4, _, _, _, _, 6, _, 2, 1, 3, _, 6, 4, 2, 2, _, _, _, _, 2, 4, _, 5, 3, 5, _, 6, _, 6, _, 2, _, 2, _, 2
1, 2, _, 2, 2, 3, 5, _, _, 2, 3, 4, _, 5, _, 4, 2, 2, 2, 4, _, 4, 3, 4, _, 5, _, _, 3, _, _, 4, _, 4, 2, 4, _, 5, _, _, _, 3, 4, _, 3, _, _, 2, 1, 1, 3, _, _, _, 3, 4, 5, _, 6, _, _, _, _, 6, 4, 4, 4, 5, _, 4, _, _, 3, 3, _, 5, _, _, 3, 4, 5, 7, _, 5, 2, 3, _, 4, _, _, _, _, _, _, 2, 1, 1, 3, _, 2
2, 4, 4, 4, _, 3, _, _, 5, 2, 2, _, 3, 4, _, 4, 3, 4, _, _, 2, 3, _, 5, _, 4, _, 4, _, 4, 3, 5, _, 3, 1, _, 4, 5, _, 5, 5, _, 4, _, 5, 5, 4, 3, 1, 2, _, _, _, 4, 2, 3, _, _, _, _, 6, 5, _, 3, _, _, 4, _, 3, 4, 4, 4, _, 3, _, _, 4, 4, _, _, _, _, _, 6, _, 3, 2, _, 3, 3, 3, 4, 4, 4, 2, 1, 2, _, 3, 1
_, _, _, _, 5, _, 5, _, 4, _, 5, 3, 3, _, 4, _, _, _, _, 4, 2, 3, _, _, 4, 4, 3, 4, 2, 3, _, 4, _, 3, 2, 4, _, _, 3, 4, _, _, 4, 2, _, _, _, 3, _, 2, 3, 6, _, 4, 3, _, _, 6, 6, _, _, 2, 1, 2, 3, _, _, 2, 3, _, _, 3, 2, 4, 4, 4, _, 2, 2, 4, _, _, _, _, _, 5, 3, 3, 2, 2, 2, 4, _, 4, _, 2, 3, _, 2, _
_, 5, 6, _, 6, _, 4, 2, 3, _, _, _, 2, 2, _, 4, 5, 5, 5, 4, _, 4, 5, _, 3, _, _, 4, _, 4, 3, _, 2, 3, _, 5, _, 6, _, 5, _, _, 3, 3, 4, 5, _, 5, 3, 3, 2, _, _, 6, _, _, _, _, 4, _, 4, 3, 3, 3, 3, 4, 4, 3, 3, _, _, 5, 4, _, _, 4, 3, 4, 2, 3, 4, _, 4, 4, _, _, _, 3, _, 2, _, _, _, _, 3, _, 3, 3, 3, 2
2, 4, _, _, _, 3, _, 3, 4, 6, _, 5, 3, 3, 3, _, 3, _, _, _, 3, _, _, 4, 4, 6, _, 6, _, _, 5, 3, 3, 3, _, _, 6, _, _, _, 6, 5, 5, _, _, 3, 2, _, _, 3, _, 5, _, _, _, _, 4, 4, _, 4, 3, _, _, _, _, 3, _, _, 3, 4, _, _, _, _, _, 4, _, _, _, 2, _, 2, 1, 1, 2, 3, 4, _, 4, 4, 6, _, _, 5, 3, 4, _, 3, _, _
_, 3, _, _, 3, 2, 2, _, _, _, _, 3, _, _, 2, 2, _, 3, 3, 2, 2, 3, _, 3, _, _, _, _, 4, _, _, _, 2, _, 4, _, _, _, _, _, _, _, _, _, _, 2, 1, 3, _, 3, 2, _, 4, _, _, 3, 1, 2, _, _, 2, 2, 4, _, _, 3, 2, 3, _, 2, 2, 4, _, 4, 3, _, 4, _, 3, 2, 1, 1, _, _, _, _, 2, _, 3, _, _, _, _, 3, _, 3, _, 3, 2, 2
